stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
T108,T108,Stan Dragul,"str. Ștefan Cel Mare, nr.23-25",46.145430,21.325970
T109,T109,Teatru,"B-dul Revoluției, nr.96",46.172220,21.315940
T110,T110,Teatru,"B-dul Revoluției, nr.95",46.172670,21.316400
T111,T111,Traian,"Calea Romanilor, nr.28",46.162000,21.323220
T112,T112,Traian,"Calea Romanilor, nr.35, bl.D1",46.162510,21.323210
T113,T113,UM,"Calea Aurel Vlaicu, Unitatea Militară",46.201350,21.269620
T114,T114,UM,"Calea Aurel Vlaicu, Unitatea Militară",46.201350,21.270060
T115,T115,Universitate,"B-dul N.Titulescu, bl.309",46.177070,21.345090
T116,T116,Universitate,"B-dul N. Titulescu, bl.310",46.176850,21.345630
T117,T117,Uzina Electrică,"str. Iuliu Maniu, nr.77",46.181140,21.333460
T118,T118,Uzina Electrică,"str. Iuliu Maniu, nr.86",46.181090,21.334050
T119,T119,Vama Grădiște,"str. Petru Rareș, nr.127",46.199640,21.338990
T120,T120,Vama Grădiște,"str. Petru Rareș, nr.127",46.199520,21.338780
T121,T121,Vama Micălaca,"Calea Radnei, nr.280",46.175450,21.365730
T122,T122,Vama Micălaca,"Calea Radnei, nr. 231-233",46.175620,21.365190
T124,T124,Voinicilor 2,str. Voinicilor nr.37,46.171490,21.354670
T126,T126,I.C. Brătianu,"B-dul Revoluției, nr. 37",46.180610,21.321814
X001,X001,Vezuviului,str. Vezuviu,46.198605,21.325610
X002,X002,Calea Timișorii,Calea Timișorii,46.148160,21.321450
X003,X003,Horia,"Horia, jud. Arad",46.208470,21.462850
